season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possesion,a_possesion,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
13-14,21,Borussia Dortmund ,Eintracht Frankfurt ,4,0,2,0,21,7,"118,36 km","111,8 km",482,483,399,391,83,92,83%,81%,49%,51%,56%,44%,17,18,18,17,3,1,6,5
13-14,21,Bayern München ,SC Freiburg ,4,0,3,0,16,12,"115,77 km","120,91 km",686,308,590,220,96,88,86%,71%,68%,32%,55%,45%,12,11,11,11,2,5,2,4
13-14,21,Werder Bremen ,Bor. Mönchengladbach ,1,1,0,1,15,17,"121,6 km","118,81 km",357,472,255,361,102,111,71%,76%,44%,56%,47%,53%,10,14,13,10,1,0,5,10
13-14,21,TSG Hoffenheim ,VfB Stuttgart ,4,1,1,0,14,13,"115,36 km","110,07 km",393,392,268,261,125,131,68%,67%,50%,50%,52%,48%,23,19,19,21,6,3,5,4
13-14,21,Eintracht Braunschweig ,Hamburger SV ,4,2,0,1,13,18,"116,9 km","110,29 km",291,285,185,169,106,116,64%,59%,50%,50%,51%,49%,14,24,24,14,7,0,7,8
13-14,21,Bayer 04 Leverkusen ,FC Schalke 04 ,1,2,0,1,13,11,"114,93 km","116,23 km",528,387,435,305,93,82,82%,79%,58%,42%,49%,51%,12,16,14,12,3,1,11,2
13-14,21,FC Augsburg ,1. FC Nürnberg ,0,1,0,0,18,11,"119,24 km","121,26 km",377,491,290,397,87,94,77%,81%,44%,56%,49%,51%,17,19,17,16,4,1,6,2
13-14,21,Hertha BSC ,VfL Wolfsburg ,1,2,1,0,13,7,"117,47 km","118,25 km",336,500,239,411,97,89,71%,82%,40%,60%,45%,55%,12,15,15,11,3,1,4,6
13-14,22,FC Schalke 04 ,1. FSV Mainz 05 ,0,0,0,0,16,15,"115,04 km","118,74 km",448,454,344,355,104,99,77%,78%,50%,50%,46%,54%,19,8,7,19,1,0,3,9
13-14,22,Bor. Mönchengladbach ,TSG Hoffenheim ,2,2,2,0,13,19,"120,95 km","124,74 km",468,541,347,467,121,74,74%,86%,47%,53%,49%,51%,15,17,15,15,2,0,6,5
13-14,22,VfB Stuttgart ,Hertha BSC ,1,2,1,1,15,10,"112,66 km","111,99 km",358,350,241,246,117,104,67%,70%,51%,49%,46%,54%,22,19,19,20,1,1,5,8
13-14,22,1. FC Nürnberg ,Eintracht Braunschweig ,2,1,0,1,6,22,"110,39 km","116,2 km",373,330,287,263,86,67,77%,80%,53%,47%,54%,46%,19,21,20,18,1,3,3,10
13-14,22,SC Freiburg ,FC Augsburg ,2,4,1,1,14,18,"122,34 km","120,31 km",427,420,329,315,98,105,77%,75%,50%,50%,50%,50%,14,13,12,13,5,0,2,4
13-14,22,Hamburger SV ,Borussia Dortmund ,3,0,1,0,13,15,"114,55 km","116,22 km",320,607,207,475,113,132,65%,78%,35%,65%,49%,51%,17,19,18,17,2,5,3,6
13-14,22,VfL Wolfsburg ,Bayer 04 Leverkusen ,3,1,1,1,9,17,"120,72 km","116,59 km",387,509,294,395,93,114,76%,78%,43%,57%,51%,49%,15,19,19,15,4,3,0,4
13-14,22,Eintracht Frankfurt ,Werder Bremen ,0,0,0,0,21,3,"111,82 km","111,23 km",647,208,540,118,107,90,83%,57%,75%,25%,53%,47%,16,18,17,16,1,0,14,2
13-14,22,Hannover 96 ,Bayern München ,0,4,0,2,8,14,"114,5 km","111,86 km",288,739,186,653,102,86,65%,88%,29%,71%,47%,53%,10,11,11,10,4,2,6,4
13-14,23,Hertha BSC ,SC Freiburg ,0,0,0,0,9,7,"117,34 km","118,34 km",369,515,269,377,100,138,73%,73%,42%,58%,49%,51%,11,14,14,11,1,1,4,4
13-14,23,Borussia Dortmund ,1. FC Nürnberg ,3,0,0,0,28,4,"118,2 km","121,23 km",453,517,351,420,102,97,77%,81%,47%,53%,52%,48%,9,13,12,9,6,1,8,1
13-14,23,Bayer 04 Leverkusen ,1. FSV Mainz 05 ,0,1,0,1,19,10,"114,95 km","119,05 km",458,313,370,218,88,95,81%,70%,61%,39%,51%,49%,19,13,12,19,1,0,7,0
13-14,23,Werder Bremen ,Hamburger SV ,1,0,1,0,16,11,"116,63 km","116,18 km",284,412,165,310,119,102,58%,75%,40%,60%,49%,51%,25,17,16,25,2,2,4,5
13-14,23,FC Augsburg ,Hannover 96 ,1,1,0,1,16,10,"115,18 km","119,96 km",482,399,397,310,85,89,82%,78%,55%,45%,52%,48%,14,17,17,14,5,0,7,2
13-14,23,Eintracht Braunschweig ,Bor. Mönchengladbach ,1,1,0,1,20,12,"121,26 km","118,59 km",359,505,273,412,86,93,76%,82%,42%,58%,52%,48%,12,14,14,12,0,2,10,4
13-14,23,Bayern München ,FC Schalke 04 ,5,1,4,0,22,10,"107,18 km","105,41 km",855,267,792,204,63,63,93%,76%,76%,24%,52%,48%,8,12,11,8,1,0,14,4
13-14,23,TSG Hoffenheim ,VfL Wolfsburg ,6,2,4,1,17,6,"118,32 km","111,91 km",448,450,310,316,138,134,69%,70%,50%,50%,48%,52%,15,21,20,15,5,1,4,3
13-14,23,Eintracht Frankfurt ,VfB Stuttgart ,2,1,0,1,13,13,"116,84 km","118,6 km",483,351,387,245,96,106,80%,70%,59%,41%,53%,47%,23,16,15,23,5,4,8,5
13-14,24,FC Schalke 04 ,TSG Hoffenheim ,4,0,2,0,24,10,"114,06 km","113,84 km",376,430,267,344,109,86,71%,80%,47%,53%,49%,51%,19,18,17,19,4,9,4,3
13-14,24,Bor. Mönchengladbach ,FC Augsburg ,1,2,1,1,15,19,"120,86 km","123,02 km",539,496,448,401,91,95,83%,81%,52%,48%,53%,47%,9,11,11,9,4,4,3,7
13-14,24,VfB Stuttgart ,Eintracht Braunschweig ,2,2,2,1,14,11,"110,03 km","113,45 km",416,273,283,175,133,98,68%,64%,60%,40%,49%,51%,17,15,15,15,2,5,11,6
13-14,24,Hannover 96 ,Bayer 04 Leverkusen ,1,1,1,1,19,10,"121,39 km","115,62 km",379,463,299,354,80,109,79%,76%,46%,54%,45%,55%,5,14,14,5,3,5,9,2
13-14,24,VfL Wolfsburg ,Bayern München ,1,6,1,1,12,18,115 km,"116,01 km",304,690,224,616,80,74,74%,89%,32%,68%,46%,54%,15,10,8,13,1,2,5,3
13-14,24,Hamburger SV ,Eintracht Frankfurt ,1,1,0,1,15,7,"111,94 km","113,81 km",582,362,493,256,89,106,85%,71%,61%,39%,55%,45%,15,12,11,15,1,1,3,3
13-14,24,1. FC Nürnberg ,Werder Bremen ,0,2,0,1,16,12,"120,57 km","119,66 km",560,298,427,187,133,111,76%,63%,66%,34%,49%,51%,17,11,10,17,1,1,5,2
13-14,24,SC Freiburg ,Borussia Dortmund ,0,1,0,0,10,12,"121,28 km","120,85 km",611,444,507,333,104,111,83%,75%,58%,42%,54%,46%,7,12,11,7,2,2,1,5
13-14,24,1. FSV Mainz 05 ,Hertha BSC ,1,1,0,0,16,12,"116,12 km","113,86 km",414,395,307,295,107,100,74%,75%,51%,49%,53%,47%,13,14,13,13,2,0,5,4
13-14,25,FC Augsburg ,FC Schalke 04 ,1,2,1,1,21,10,"118,63 km","119,53 km",404,340,315,260,89,80,78%,76%,55%,45%,64%,36%,14,23,22,12,0,2,12,6
13-14,25,Borussia Dortmund ,Bor. Mönchengladbach ,1,2,0,2,25,7,"126,27 km","118,3 km",596,459,490,354,106,105,82%,77%,57%,43%,44%,56%,12,11,11,12,6,1,8,3
13-14,25,Werder Bremen ,VfB Stuttgart ,1,1,0,0,10,16,"118,02 km","119,48 km",427,429,285,281,142,148,67%,66%,49%,51%,51%,49%,18,19,16,17,2,0,2,9
13-14,25,TSG Hoffenheim ,1. FSV Mainz 05 ,2,4,0,0,22,11,"116,86 km","117,28 km",396,424,258,293,138,131,65%,69%,49%,51%,51%,49%,16,15,15,16,0,2,11,1
13-14,25,Eintracht Braunschweig ,VfL Wolfsburg ,1,1,0,1,8,11,"118,77 km","116,44 km",247,562,140,439,107,123,57%,78%,32%,68%,49%,51%,15,22,21,14,2,0,3,4
13-14,25,Hertha BSC ,Hannover 96 ,0,3,0,0,16,7,"117,07 km","121,73 km",533,376,405,245,128,131,76%,65%,59%,41%,59%,41%,8,17,17,6,4,2,6,1
13-14,25,Bayern München ,Bayer 04 Leverkusen ,2,1,1,0,23,6,"113,92 km","117,16 km",824,209,742,136,82,73,90%,65%,78%,22%,47%,53%,11,18,18,11,2,5,12,6
13-14,25,Hamburger SV ,1. FC Nürnberg ,2,1,0,0,26,9,"114,38 km","115,58 km",353,401,265,313,88,88,75%,78%,47%,53%,57%,43%,12,18,18,12,1,2,10,5
13-14,25,Eintracht Frankfurt ,SC Freiburg ,1,4,0,1,26,7,"112,6 km","122,59 km",484,277,381,190,103,87,79%,69%,64%,36%,57%,43%,19,18,17,18,2,2,12,1
13-14,26,SC Freiburg ,Werder Bremen ,3,1,1,0,14,7,"121,87 km","119,86 km",382,377,276,276,106,101,72%,73%,50%,50%,50%,50%,19,15,14,17,2,4,5,4
13-14,26,FC Schalke 04 ,Eintracht Braunschweig ,3,1,1,0,33,11,"118,67 km","120,16 km",580,280,489,175,91,105,84%,62%,67%,33%,55%,45%,14,20,19,14,0,1,14,4
13-14,26,VfB Stuttgart ,Hamburger SV ,1,0,0,0,12,6,"121,07 km","112,43 km",439,487,358,411,81,76,82%,84%,48%,52%,56%,44%,18,13,13,18,3,3,5,2
13-14,26,Hannover 96 ,Borussia Dortmund ,0,3,0,1,9,15,"120,42 km","123,2 km",529,484,425,394,104,90,80%,81%,53%,47%,50%,50%,12,16,16,10,2,4,5,3
13-14,26,VfL Wolfsburg ,FC Augsburg ,1,1,0,1,10,12,"116,19 km","116,31 km",455,329,374,245,81,84,82%,74%,58%,42%,52%,48%,23,11,10,22,0,4,6,3
13-14,26,1. FSV Mainz 05 ,Bayern München ,0,2,0,0,4,23,"120,21 km","115,17 km",224,825,142,737,82,88,63%,89%,22%,78%,45%,55%,13,11,11,13,8,1,2,9
13-14,26,Bor. Mönchengladbach ,Hertha BSC ,3,0,3,0,8,8,"114,21 km",116 km,714,508,632,421,82,87,89%,83%,58%,42%,54%,46%,7,12,12,7,1,1,4,5
13-14,26,1. FC Nürnberg ,Eintracht Frankfurt ,2,5,0,1,13,23,"115,44 km","114,05 km",389,391,272,265,117,126,70%,68%,51%,49%,49%,51%,19,15,15,19,1,2,2,5
13-14,26,Bayer 04 Leverkusen ,TSG Hoffenheim ,2,3,1,2,12,12,"118,91 km","121,08 km",589,324,488,234,101,90,83%,72%,64%,36%,51%,49%,15,18,18,14,3,1,6,2
13-14,27,Borussia Dortmund ,FC Schalke 04 ,0,0,0,0,18,8,"119,84 km","118,14 km",460,337,332,213,128,124,72%,63%,58%,42%,53%,47%,17,24,23,16,2,2,4,2
13-14,27,Werder Bremen ,VfL Wolfsburg ,1,3,1,2,6,19,"118,33 km","115,26 km",314,503,199,395,115,108,63%,79%,39%,61%,44%,56%,18,19,18,18,2,3,3,8
13-14,27,Eintracht Braunschweig ,1. FSV Mainz 05 ,3,1,2,1,14,12,"120,95 km","119,56 km",303,469,174,333,129,136,57%,71%,40%,60%,51%,49%,16,25,23,14,3,0,6,7
13-14,27,Hertha BSC ,Bayern München ,1,3,0,2,4,13,"117,74 km","112,16 km",210,1078,142,1004,68,74,68%,93%,18%,82%,41%,59%,13,8,7,13,3,2,2,3
13-14,27,1. FC Nürnberg ,VfB Stuttgart ,2,0,1,0,11,13,"124,62 km","121,28 km",441,386,323,257,118,129,73%,67%,53%,47%,51%,49%,18,11,11,18,2,0,6,4
13-14,27,TSG Hoffenheim ,Hannover 96 ,3,1,1,1,20,8,"121,09 km","119,55 km",455,530,351,427,104,103,77%,81%,46%,54%,58%,42%,16,15,14,16,4,0,5,1
13-14,27,FC Augsburg ,Bayer 04 Leverkusen ,1,3,0,1,22,13,"118,4 km","119,52 km",501,387,413,304,88,83,82%,79%,58%,42%,50%,50%,14,17,17,10,2,5,10,3
13-14,27,Hamburger SV ,SC Freiburg ,1,1,0,0,21,11,"112,76 km","122,88 km",423,392,323,273,100,119,76%,70%,52%,48%,54%,46%,17,15,15,17,2,1,6,3
13-14,27,Eintracht Frankfurt ,Bor. Mönchengladbach ,1,0,1,0,14,9,"119,33 km","121,19 km",388,616,303,517,85,99,78%,84%,40%,60%,55%,45%,11,12,12,11,7,1,11,7
13-14,28,FC Schalke 04 ,Hertha BSC ,2,0,1,0,13,11,"122,35 km","118,05 km",445,400,326,284,119,116,73%,71%,52%,48%,57%,43%,17,19,18,17,1,3,1,4
13-14,28,Bayern München ,TSG Hoffenheim ,3,3,3,2,11,20,"115,04 km","121,22 km",601,287,484,177,117,110,81%,62%,67%,33%,53%,47%,13,18,18,13,3,4,3,1
13-14,28,Bayer 04 Leverkusen ,Eintracht Braunschweig ,1,1,0,0,15,9,"115,19 km","118,3 km",518,247,410,165,108,82,79%,67%,67%,33%,57%,43%,16,13,12,16,5,4,7,1
13-14,28,VfB Stuttgart ,Borussia Dortmund ,2,3,2,1,11,17,"113,55 km","118,76 km",270,612,168,507,102,105,62%,83%,31%,69%,52%,48%,15,14,14,14,1,2,2,9
13-14,28,VfL Wolfsburg ,Eintracht Frankfurt ,2,1,0,1,22,11,"111,44 km","108,04 km",423,307,339,198,84,109,80%,64%,58%,42%,55%,45%,19,19,19,17,1,5,4,3
13-14,28,1. FSV Mainz 05 ,FC Augsburg ,3,0,2,0,14,12,"118,68 km","115,26 km",441,385,362,282,79,103,82%,73%,53%,47%,53%,47%,14,20,20,14,1,1,5,8
13-14,28,SC Freiburg ,1. FC Nürnberg ,3,2,1,2,14,9,"122,07 km","119,33 km",361,328,261,232,100,96,72%,71%,52%,48%,44%,56%,16,22,21,16,2,1,8,4
13-14,28,Bor. Mönchengladbach ,Hamburger SV ,3,1,1,1,17,17,"114,37 km","114,88 km",634,373,558,298,76,75,88%,80%,62%,38%,49%,51%,11,15,14,11,3,3,6,10
13-14,28,Hannover 96 ,Werder Bremen ,1,2,1,0,9,11,"116,22 km","115,56 km",406,397,288,276,118,121,71%,70%,52%,48%,44%,56%,19,13,13,17,0,9,10,8
13-14,29,Hamburger SV ,Bayer 04 Leverkusen ,2,1,1,0,18,19,"120,82 km","121,12 km",358,509,251,384,107,125,70%,75%,40%,60%,46%,54%,16,15,15,15,1,1,4,14
13-14,29,VfB Stuttgart ,SC Freiburg ,2,0,0,0,12,18,"117,99 km","120,03 km",450,362,357,278,93,84,79%,77%,56%,44%,52%,48%,13,17,17,12,1,3,3,6
13-14,29,Werder Bremen ,FC Schalke 04 ,1,1,1,1,19,9,"115,79 km","113,53 km",334,436,235,333,99,103,70%,76%,44%,56%,52%,48%,17,20,18,17,2,2,9,4
13-14,29,1. FC Nürnberg ,Bor. Mönchengladbach ,0,2,0,1,14,15,"118,41 km","117,19 km",526,400,443,318,83,82,84%,80%,57%,43%,56%,44%,7,16,16,7,5,2,8,5
13-14,29,FC Augsburg ,Bayern München ,1,0,1,0,11,16,"115,92 km","112,65 km",322,686,219,591,103,95,68%,86%,33%,67%,42%,58%,16,13,13,15,5,1,3,4
13-14,29,Eintracht Frankfurt ,1. FSV Mainz 05 ,2,0,0,0,14,17,"109,76 km","109,71 km",323,428,240,356,83,72,74%,83%,43%,57%,57%,43%,11,18,18,10,5,4,2,6
13-14,29,Borussia Dortmund ,VfL Wolfsburg ,2,1,0,1,10,19,"118,03 km","115,03 km",376,415,237,286,139,129,63%,69%,48%,52%,52%,48%,15,14,13,13,3,3,7,2
13-14,29,Eintracht Braunschweig ,Hannover 96 ,3,0,2,0,11,11,"116,24 km","111,71 km",228,472,130,351,98,121,57%,74%,33%,67%,54%,46%,17,16,16,16,4,2,5,6
13-14,29,Hertha BSC ,TSG Hoffenheim ,1,1,1,1,11,11,"112,72 km","115,72 km",365,442,206,277,159,165,56%,63%,45%,55%,46%,54%,19,17,17,18,1,2,3,4
13-14,30,FC Schalke 04 ,Eintracht Frankfurt ,2,0,0,0,22,10,"116,74 km","111,31 km",501,365,420,270,81,95,84%,74%,57%,43%,44%,56%,15,14,12,14,1,0,4,5
13-14,30,Bor. Mönchengladbach ,VfB Stuttgart ,1,1,0,1,14,18,"117,27 km","121,43 km",640,358,545,259,95,99,85%,72%,64%,36%,49%,51%,12,15,15,12,2,1,6,5
13-14,30,Hannover 96 ,Hamburger SV ,2,1,1,0,31,5,"111,5 km","111,7 km",331,293,229,168,102,125,69%,57%,53%,47%,51%,49%,20,16,16,18,1,1,5,2
13-14,30,VfL Wolfsburg ,1. FC Nürnberg ,4,1,2,1,24,5,"114,14 km","114,36 km",365,367,273,273,92,94,75%,74%,50%,50%,48%,52%,13,13,13,12,3,4,11,2
13-14,30,SC Freiburg ,Eintracht Braunschweig ,2,0,1,0,19,13,"119,48 km","116,66 km",383,385,281,275,102,110,73%,71%,50%,50%,52%,48%,15,20,20,15,2,2,3,3
13-14,30,1. FSV Mainz 05 ,Werder Bremen ,3,0,3,0,23,9,"115,85 km","115,37 km",461,279,373,180,88,99,81%,65%,60%,40%,58%,42%,12,17,16,12,6,4,3,12
13-14,30,Bayern München ,Borussia Dortmund ,0,3,0,1,14,9,"109,96 km","117,64 km",685,283,585,189,100,94,85%,67%,71%,29%,52%,48%,17,13,12,15,3,9,12,2
13-14,30,Bayer 04 Leverkusen ,Hertha BSC ,2,1,2,1,17,9,"116,27 km","117,92 km",464,398,336,279,128,119,72%,70%,53%,47%,55%,45%,17,13,13,17,1,1,7,2
13-14,30,TSG Hoffenheim ,FC Augsburg ,2,0,2,0,26,23,"120,61 km","114,97 km",339,431,238,320,101,111,70%,74%,44%,56%,43%,57%,22,19,18,21,0,1,6,10
13-14,31,Eintracht Frankfurt ,Hannover 96 ,2,3,1,3,14,16,"117,08 km","121,04 km",449,349,319,246,130,103,71%,70%,56%,44%,56%,44%,24,22,21,24,4,3,3,4
13-14,31,Borussia Dortmund ,1. FSV Mainz 05 ,4,2,2,1,30,9,"117,1 km","114,38 km",423,418,296,295,127,123,70%,71%,50%,50%,53%,48%,9,18,15,8,4,4,12,2
13-14,31,Werder Bremen ,TSG Hoffenheim ,3,1,1,1,12,14,"113,37 km","111,88 km",339,348,212,227,127,121,63%,65%,49%,51%,51%,49%,11,24,24,10,1,3,8,6
